UniProt.ID;Gene;Protein.Name;Panel;Tissue.Specificity;Tissue_Initials;Tissue_Initials2
678;Q04637;EIF4G1;Eukaryotic translation initiation factor 4 gamma 1;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: skeletal muscle;TESM
679;Q04759;PRKCQ;Protein kinase C theta type;Olink Explore Inflammation- Olink Target 96 Immune Response;Group enriched: lymphoid tissue- skeletal muscle- tongue;GELTSMT
680;Q04760;GLO1;Lactoylglutathione lyase;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Low tissue specificity;LTS
681;Q04900;CD164;Sialomucin core protein 24;Olink Explore Neurology- Olink Target 96 Metabolism;Low tissue specificity;LTS
682;Q05084;ICA1;Islet cell autoantigen 1;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
683;Q06141;REG3A;Regenerating islet-derived protein 3-alpha;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Group enriched: intestine- pancreas;GEIP
684;Q06323;PSME1;Proteasome activator complex subunit 1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
685;Q06418;TYRO3;Tyrosine-protein kinase receptor TYRO3;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: brain- ovary;TEBO
686;Q06520;SULT2A1;Sulfotransferase 2A1;Olink Explore Inflammation- Olink Target 96 Cell Regulation;Tissue enriched: liver;TEL
687;Q06830;PRDX1;Peroxiredoxin-1;Olink Explore Neurology- Olink Target 96 Immune Response;Low tissue specificity;LTS
688;Q07065;CKAP4;Cytoskeleton-associated protein 4;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
689;Q07108;CD69;Early activation antigen CD69;Olink Explore Cardiometabolic- Olink Target 96 Development;Group enriched: bone marrow- lymphoid tissue;GEBMLT
690;Q07654;TFF3;Trefoil factor 3;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Group enriched: cervix- intestine- salivary gland- thyroid gland;GECISGTG
691;Q07954;LRP1;Prolow-density lipoprotein receptor-related protein 1;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: adipose tissue;TEAT
692;Q07960;ARHGAP1;Rho GTPase-activating protein 1;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
693;Q08174;PCDH1;Protocadherin-1;Olink Explore Inflammation- Olink Target 96 Oncology III;Low tissue specificity;LTS
694;Q08334;IL10RB;Interleukin-10 receptor subunit beta;Olink Explore Inflammation- Olink Target 96 Inflammation;Low tissue specificity;LTS
695;Q08345;DDR1;Epithelial discoidin domain-containing receptor 1;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
696;Q08431;MFGE8;Lactadherin;Olink Explore Neurology- Olink Target 96 Development;Low tissue specificity;LTS
697;Q08629;SPOCK1;Testican-1;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: brain;TEB
698;Q08708;CD300C;CMRF35-like molecule 6;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: bone marrow- lung- lymphoid tissue;TEBMLLT
699;Q0Z7S8;FABP9;Fatty acid-binding protein 9;Olink Explore Inflammation- Olink Target 96 Organ Damage;Tissue enriched: skin 1;TES1
700;Q10471;GALNT2;Polypeptide N-acetylgalactosaminyltransferase 2;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
701;Q10588;BST1;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2;Olink Explore Neurology- Olink Target 96 Development;Group enriched: bone marrow- intestine;GEBMI
702;Q10589;BST2;Bone marrow stromal antigen 2;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enhanced: adrenal gland- ovary;TEAGO
703;Q11128;FUT5;4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5;Olink Explore Neurology- Olink Target 96 Development;Not detected;ND
704;Q11201;ST3GAL1;CMP-N-acetylneuraminate-beta-galactosamide-alpha-2-3-sialyltransferase 1;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
705;Q12778;FOXO1;Forkhead box protein O1;Olink Explore Inflammation- Olink Target 96 Organ Damage;Tissue enhanced: skeletal muscle;TESM
706;Q12805;EFEMP1;EGF-containing fibulin-like extracellular matrix protein 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
707;Q12860;CNTN1;Contactin-1;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: brain;TEB
708;Q12864;CDH17;Cadherin-17;Olink Explore Cardiometabolic- Olink Target 96 Neuro Exploratory;Tissue enriched: intestine;TEI
709;Q12866;MERTK;Tyrosine-protein kinase Mer;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Low tissue specificity;LTS
710;Q12884;FAP;Prolyl endopeptidase FAP;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: endometrium 1- smooth muscle;TEE1SM
711;Q12912;IRAG2;Inositol 1-4-5-triphosphate receptor associated 2;Olink Explore Cardiometabolic- Olink Target 96 Cell Regulation;Group enriched: bone marrow- lymphoid tissue;GEBMLT
712;Q12933;TRAF2;TNF receptor-associated factor 2;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
713;Q12968;NFATC3;Nuclear factor of activated T-cells- cytoplasmic 3;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue;TELT
714;Q13007;IL24;Interleukin-24;Olink Explore Inflammation- Olink Target 96 Inflammation;Group enriched: intestine- lymphoid tissue- urinary bladder;GEILTUB
715;Q13043;STK4;Serine/threonine-protein kinase 4;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enhanced: bone marrow;TEBM
716;Q13093;PLA2G7;Platelet-activating factor acetylhydrolase;Olink Explore Neurology- Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue- placenta;TELTP
717;Q13105;ZBTB17;Zinc finger and BTB domain-containing protein 17;Olink Explore Cardiometabolic- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
718;Q13145;BAMBI;BMP and activin membrane-bound inhibitor homolog;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: ovary;TEO
719;Q13158;FADD;FAS-associated death domain protein;Olink Explore Cardiometabolic- Olink Target 96 Oncology II;Low tissue specificity;LTS
720;Q13219;PAPPA;Pappalysin-1;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enriched: placenta;TEP
721;Q13231;CHIT1;Chitotriosidase-1;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow- lung- lymphoid tissue;TEBMLLT
722;Q13261;IL15RA;Interleukin-15 receptor subunit alpha;Olink Explore Inflammation- Olink Target 96 Inflammation;Low tissue specificity;LTS
723;Q13275;SEMA3F;Semaphorin-3F;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: esophagus;TEE
724;Q13291;SLAMF1;Signaling lymphocytic activation molecule;Olink Explore Inflammation- Olink Target 96 Inflammation;Tissue enriched: lymphoid tissue;TELT
725;Q13308;PTK7;Inactive tyrosine-protein kinase 7;Olink Explore Neurology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
726;Q13332;PTPRS;Receptor-type tyrosine-protein phosphatase S;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
727;Q13361;MFAP5;Microfibrillar-associated protein 5;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: endometrium 1;TEE1
728;Q13421;MSLN;Mesothelin;Olink Explore Oncology- Olink Target 96 Oncology II;Group enriched: fallopian tube- lung;GEFTL
729;Q13444;ADAM15;Disintegrin and metalloproteinase domain-containing protein 15;Olink Explore Cardiometabolic- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
730;Q13451;FKBP5;Peptidyl-prolyl cis-trans isomerase FKBP5;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enhanced: skeletal muscle- tongue;TESMT
731;Q13459;MYO9B;Unconventional myosin-IXb;Olink Explore Inflammation- Olink Target 96 Oncology III;Low tissue specificity;LTS
732;Q13478;IL18R1;Interleukin-18 receptor 1;Olink Explore Inflammation- Olink Target 96 Inflammation;Tissue enhanced: lung- lymphoid tissue;TELLT
733;Q13490;BIRC2;Baculoviral IAP repeat-containing protein 2;Olink Explore Oncology- Olink Target 96 Immune Response;Low tissue specificity;LTS
734;Q13541;EIF4EBP1;Eukaryotic translation initiation factor 4E-binding protein 1;Olink Explore Cardiometabolic- Olink Target 96 Inflammation;Tissue enhanced: pancreas- salivary gland;TEPSG
735;Q13561;DCTN2;Dynactin subunit 2;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
736;Q13574;DGKZ;Diacylglycerol kinase zeta;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: brain;TEB
737;Q13576;IQGAP2;Ras GTPase-activating-like protein IQGAP2;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: liver;TEL
738;Q13651;IL10RA;Interleukin-10 receptor subunit alpha;Olink Explore Inflammation- Olink Target 96 Inflammation;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
739;Q13740;ALCAM;CD166 antigen;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enriched: parathyroid gland;TEPG
740;Q13822;ENPP2;Ectonucleotide pyrophosphatase/phosphodiesterase family member 2;Olink Explore Cardiometabolic- Olink Target 96 Development;Tissue enhanced: brain- choroid plexus;TEBCP
741;Q13867;BLMH;Bleomycin hydrolase;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: skin 1;TES1
742;Q14005;IL16;Pro-interleukin-16;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enhanced: lymphoid tissue;TELT
743;Q14108;SCARB2;Lysosome membrane protein 2;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
744;Q14112;NID2;Nidogen-2;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: placenta;TEP
745;Q14118;DAG1;Dystroglycan 1;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
746;Q14162;SCARF1;Scavenger receptor class F member 1;Olink Explore Cardiometabolic- Olink Target 96 Development;Tissue enhanced: lymphoid tissue;TELT
747;Q14203;DCTN1;Dynactin subunit 1;Olink Explore Oncology- Olink Target 96 Immune Response;Low tissue specificity;LTS
748;Q14241;ELOA;Elongin-A;Olink Explore Oncology- Olink Target 96 Oncology III;Low tissue specificity;LTS
749;Q14242;SELPLG;P-selectin glycoprotein ligand 1;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enhanced: lymphoid tissue;TELT
750;Q14393;GAS6;Growth arrest-specific protein 6;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
751;Q14435;GALNT3;Polypeptide N-acetylgalactosaminyltransferase 3;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: stomach 1;TES1
752;Q14508;WFDC2;WAP four-disulfide core domain protein 2;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: cervix- salivary gland;TECSG
753;Q14512;FGFBP1;Fibroblast growth factor-binding protein 1;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: esophagus- vagina;TEEV
754;Q14515;SPARCL1;SPARC-like protein 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
755;Q14696;MESD;LRP chaperone MESD;Olink Explore Neurology- Olink Target 96 Development;Low tissue specificity;LTS
756;Q14767;LTBP2;Latent-transforming growth factor beta-binding protein 2;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
757;Q14773;ICAM4;Intercellular adhesion molecule 4;Olink Explore Inflammation- Olink Target 96 Oncology III;Group enriched: bone marrow- lung;GEBML
758;Q15109;AGER;Advanced glycosylation end product-specific receptor;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enriched: lung;TEL
759;Q15113;PCOLCE;Procollagen C-endopeptidase enhancer 1;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
760;Q15126;PMVK;Phosphomevalonate kinase;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
761;Q15155;NOMO1;Nodal modulator 1;Olink Explore Neurology- Olink Target 96 Metabolism;Tissue enhanced: pancreas;TEP
762;Q15165;PON2;Serum paraoxonase/arylesterase 2;Olink Explore Cardiometabolic- Olink Target 96 Organ Damage;Tissue enhanced: brain;TEB
763;Q15166;PON3;Serum paraoxonase/lactonase 3;Olink Explore Inflammation- Olink Target 96 Cardiovascular III;Tissue enriched: liver;TEL
764;Q15303;ERBB4;Receptor tyrosine-protein kinase erbB-4;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: brain- fallopian tube;TEBFT
765;Q15485;FCN2;Ficolin-2;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enriched: liver;TEL
766;Q15517;CDSN;Corneodesmosin;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enriched: skin 1;TES1
767;Q15582;TGFBI;Transforming growth factor-beta-induced protein ig-h3;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: placenta;TEP
768;Q15661;TPSAB1;Tryptase alpha/beta-1;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
769;Q15797;SMAD1;Mothers against decapentaplegic homolog 1;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
770;Q15828;CST6;Cystatin-M;Olink Explore Cardiometabolic- Olink Target 96 Development;Tissue enriched: skin 1;TES1
771;Q15846;CLUL1;Clusterin-like protein 1;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enriched: retina;TER
772;Q16270;IGFBP7;Insulin-like growth factor-binding protein 7;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Low tissue specificity;LTS
773;Q16288;NTRK3;NT-3 growth factor receptor;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: brain;TEB
774;Q16363;LAMA4;Laminin subunit alpha-4;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
775;Q16619;CTF1;Cardiotrophin-1;Olink Explore Cardiometabolic- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
776;Q16620;NTRK2;BDNF/NT-3 growth factors receptor;Olink Explore Cardiometabolic- Olink Target 96 Neurology;Tissue enhanced: brain- thyroid gland;TEBTG
777;Q16627;CCL14;C-C motif chemokine 14;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue;TELT
778;Q16651;PRSS8;Prostasin;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enhanced: salivary gland;TESG
779;Q16653;MOG;Myelin-oligodendrocyte glycoprotein;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enriched: brain;TEB
780;Q16663;CCL15;C-C motif chemokine 15;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Group enriched: intestine- liver;GEIL
781;Q16674;MIA;Melanoma-derived growth regulatory protein;Olink Explore Oncology- Olink Target 96 Oncology II;Group enriched: breast- pituitary gland- salivary gland- stomach 1;GEBPGSGS1
782;Q16698;DECR1;2-4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]- mitochondrial;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Tissue enhanced: heart muscle- liver;TEHML
783;Q16719;KYNU;Kynureninase;Olink Explore Inflammation- Olink Target 96 Neurology;Tissue enhanced: liver- urinary bladder;TELUB
784;Q16769;QPCT;Glutaminyl-peptide cyclotransferase;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: adrenal gland- epididymis;TEAGE
785;Q16773;KYAT1;Kynurenine--oxoglutarate transaminase 1;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
786;Q16775;HAGH;Hydroxyacylglutathione hydrolase- mitochondrial;Olink Explore Oncology- Olink Target 96 Neurology;Low tissue specificity;LTS
787;Q16820;MEP1B;Meprin A subunit beta;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enriched: intestine;TEI
788;Q16853;AOC3;Membrane primary amine oxidase;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Tissue enhanced: adipose tissue;TEAT
789;Q16864;ATP6V1F;V-type proton ATPase subunit F;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Low tissue specificity;LTS
790;Q2MKA7;RSPO1;R-spondin-1;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: cervix- endometrium 1;TECE1
791;Q2TAL6;VWC2;Brorin;Olink Explore Neurology- Olink Target 96 Neurology;Group enriched: brain- heart muscle- ovary;GEBHMO
792;Q2VWP7;PRTG;Protogenin;Olink Explore Oncology- Olink Target 96 Neurology;Tissue enhanced: retina- thyroid gland;TERTG
793;Q496F6;CD300E;CMRF35-like molecule 2;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
794;Q49AH0;CDNF;Cerebral dopamine neurotrophic factor;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: skeletal muscle- tongue;TESMT
795;Q4KMG0;CDON;Cell adhesion molecule-related/down-regulated by oncogenes;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
796;Q53H82;LACTB2;Endoribonuclease LACTB2;Olink Explore Cardiometabolic- Olink Target 96 Oncology III;Tissue enhanced: liver;TEL
797;Q5JZY3;EPHA10;Ephrin type-A receptor 10;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enhanced: brain- intestine- testis;TEBIT
798;Q5KU26;COLEC12;Collectin-12;Olink Explore Inflammation- Olink Target 96 Development;Tissue enhanced: cervix;TEC
799;Q5T2D2;TREML2;Trem-like transcript 2 protein;Olink Explore Neurology- Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
800;Q5T4W7;ARTN;Artemin;Olink Explore Inflammation- Olink Target 96 Inflammation;Low tissue specificity;LTS
801;Q5VIR6;VPS53;Vacuolar protein sorting-associated protein 53 homolog;Olink Explore Oncology- Olink Target 96 Oncology III;Low tissue specificity;LTS
802;Q5VY43;PEAR1;Platelet endothelial aggregation receptor 1;Olink Explore Cardiometabolic- Olink Target 96 Development;Low tissue specificity;LTS
803;Q6BAA4;FCRLB;Fc receptor-like B;Olink Explore Oncology- Olink Target 96 Oncology II;Tissue enhanced: lymphoid tissue;TELT
804;Q6DN72;FCRL6;Fc receptor-like protein 6;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: bone marrow- lymphoid tissue;TEBMLT
805;Q6EIG7;CLEC6A;C-type lectin domain family 6 member A;Olink Explore Oncology- Olink Target 96 Immune Response;Tissue enhanced: lung- lymphoid tissue;TELLT
806;Q6EMK4;VASN;Vasorin;Olink Explore Cardiometabolic- Olink Target 96 Cardiometabolic;Low tissue specificity;LTS
807;Q6GTX8;LAIR1;Leukocyte-associated immunoglobulin-like receptor 1;Olink Explore Inflammation- Olink Target 96 Development;Tissue enhanced: lung- lymphoid tissue;TELLT
808;Q6ISS4;LAIR2;Leukocyte-associated immunoglobulin-like receptor 2;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: lymphoid tissue- pituitary gland;TELTPG
809;Q6NW40;RGMB;Repulsive guidance molecule B;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
810;Q6PCB0;VWA1;von Willebrand factor A domain-containing protein 1;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enhanced: seminal vesicle;TESV
811;Q6UB28;METAP1D;Methionine aminopeptidase 1D- mitochondrial;Olink Explore Inflammation- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
812;Q6UWL6;KIRREL2;Kin of IRRE-like protein 2;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enriched: pancreas;TEP
813;Q6UWV6;ENPP7;Ectonucleotide pyrophosphatase/phosphodiesterase family member 7;Olink Explore Inflammation- Olink Target 96 Metabolism;Tissue enriched: intestine;TEI
814;Q6UX15;LAYN;Layilin;Olink Explore Neurology- Olink Target 96 Neurology;Low tissue specificity;LTS
815;Q6UX27;VSTM1;V-set and transmembrane domain-containing protein 1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Tissue enriched: bone marrow;TEBM
816;Q6UXB2;CXCL17;C-X-C motif chemokine 17;Olink Explore Inflammation- Olink Target 96 Oncology II;Group enriched: esophagus- lung- salivary gland- stomach 1;GEELSGS1
817;Q6UXB4;CLEC4G;C-type lectin domain family 4 member G;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: adipose tissue- liver- lymphoid tissue;TEATLLT
818;Q6UXD5;SEZ6L2;Seizure 6-like protein 2;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: brain- pituitary gland;TEBPG
819;Q6UXG3;CD300LG;CMRF35-like molecule 9;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: adipose tissue- breast- placenta;TEATBP
820;Q6UXH1;CRELD2;Protein disulfide isomerase CRELD2;Olink Explore Inflammation- Olink Target 96 Development;Low tissue specificity;LTS
821;Q6UXH9;PAMR1;Inactive serine protease PAMR1;Olink Explore Neurology- Olink Target 96 Development;Low tissue specificity;LTS
822;Q6UXK2;ISLR2;Immunoglobulin superfamily containing leucine-rich repeat protein 2;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Group enriched: brain- testis;GEBT
823;Q6UXK5;LRRN1;Leucine-rich repeat neuronal protein 1;Olink Explore Inflammation- Olink Target 96 Cell Regulation;Tissue enhanced: brain;TEB
824;Q6WN34;CHRDL2;Chordin-like protein 2;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: endometrium 1- gallbladder- lymphoid tissue- smooth muscle;TEE1GLTSM
825;Q6YHK3;CD109;CD109 antigen;Olink Explore Neurology- Olink Target 96 Development;Tissue enriched: parathyroid gland;TEPG
826;Q6ZMJ2;SCARA5;Scavenger receptor class A member 5;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: urinary bladder;TEUB
827;Q6ZUJ8;PIK3AP1;Phosphoinositide 3-kinase adapter protein 1;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: liver- lymphoid tissue- salivary gland;TELLTSG
828;Q76LX8;ADAMTS13;A disintegrin and metalloproteinase with thrombospondin motifs 13;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enriched: liver;TEL
829;Q76M96;CCDC80;Coiled-coil domain-containing protein 80;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
830;Q7L5Y9;MAEA;E3 ubiquitin-protein transferase MAEA;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
831;Q7L8A9;VASH1;Tubulinyl-Tyr carboxypeptidase 1;Olink Explore Inflammation- Olink Target 96 Organ Damage;Tissue enhanced: retina;TER
832;Q7LG56;RRM2B;Ribonucleoside-diphosphate reductase subunit M2 B;Olink Explore Oncology- Olink Target 96 Organ Damage;Low tissue specificity;LTS
833;Q7Z5A7;TAFA5;Chemokine-like protein TAFA-5;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enriched: brain;TEB
834;Q7Z5L0;VMO1;Vitelline membrane outer layer protein 1 homolog;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enhanced: lymphoid tissue- pituitary gland;TELTPG
835;Q7Z5R6;APBB1IP;Amyloid beta A4 precursor protein-binding family B member 1-interacting protein;Olink Explore Oncology- Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue;TELT
836;Q7Z6M3;MILR1;Allergin-1;Olink Explore Inflammation- Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue;TELT
837;Q7Z739;YTHDF3;YTH domain-containing family protein 3;Olink Explore Inflammation- Olink Target 96 Oncology III;Low tissue specificity;LTS
838;Q86SF2;GALNT7;N-acetylgalactosaminyltransferase 7;Olink Explore Oncology- Olink Target 96 Oncology III;Low tissue specificity;LTS
839;Q86SJ2;AMIGO2;Amphoterin-induced protein 2;Olink Explore Oncology- Olink Target 96 Cell Regulation;Low tissue specificity;LTS
840;Q86SJ6;DSG4;Desmoglein-4;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: skin 1;TES1
841;Q86SR1;GALNT10;Polypeptide N-acetylgalactosaminyltransferase 10;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: ovary;TEO
842;Q86T13;CLEC14A;C-type lectin domain family 14 member A;Olink Explore Neurology- Olink Target 96 Development;Low tissue specificity;LTS
843;Q86VB7;CD163;Scavenger receptor cysteine-rich type 1 protein M130;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue;TELT
844;Q86VZ4;LRP11;Low-density lipoprotein receptor-related protein 11;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Low tissue specificity;LTS
845;Q86WD7;SERPINA9;Serpin A9;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enriched: lymphoid tissue;TELT
846;Q86WV1;SKAP1;Src kinase-associated phosphoprotein 1;Olink Explore Neurology- Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue;TELT
847;Q86Z14;KLB;Beta-klotho;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Group enriched: adipose tissue- liver- pancreas;GEATLP
848;Q8IU54;IFNL1;Interferon lambda-1;Olink Explore Neurology- Olink Target 96 Neuro Exploratory;Not detected;ND
849;Q8IU57;IFNLR1;Interferon lambda receptor 1;Olink Explore Inflammation- Olink Target 96 Immune Response;Low tissue specificity;LTS
850;Q8IUK5;PLXDC1;Plexin domain-containing protein 1;Olink Explore Oncology- Olink Target 96 Organ Damage;Tissue enhanced: retina;TER
851;Q8IUN9;CLEC10A;C-type lectin domain family 10 member A;Olink Explore Neurology- Olink Target 96 Neurology;Tissue enhanced: lymphoid tissue;TELT
852;Q8IW75;SERPINA12;Serpin A12;Olink Explore Cardiometabolic- Olink Target 96 Cardiovascular II;Tissue enriched: skin 1;TES1
853;Q8IWL2;SFTPA1;Pulmonary surfactant-associated protein A1;Olink Explore Oncology- Olink Target 96 Oncology III;Tissue enriched: lung;TEL
854;Q8IWV2;CNTN4;Contactin-4;Olink Explore Neurology- Olink Target 96 Development;Tissue enhanced: parathyroid gland;TEPG
855;Q8IX05;CD302;CD302 antigen;Olink Explore Oncology- Olink Target 96 Neuro Exploratory;Tissue enhanced: liver;TEL
856;Q8IXJ6;SIRT2;NAD-dependent protein deacetylase sirtuin-2;Olink Explore Oncology- Olink Target 96 Inflammation;Tissue enhanced: skeletal muscle- tongue;TESMT
857;Q8IYS5;OSCAR;Osteoclast-associated immunoglobulin-like receptor;Olink Explore Inflammation- Olink Target 96 Cardiovascular II;Group enriched: bone marrow- lung- lymphoid tissue;GEBMLLT
858;Q8IZP9;ADGRG2;Adhesion G-protein coupled receptor G2;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enriched: epididymis;TEE
859;Q8N1Q1;CA13;Carbonic anhydrase 13;Olink Explore Cardiometabolic- Olink Target 96 Metabolism;Tissue enhanced: intestine;TEI
860;Q8N2G4;LYPD1;Ly6/PLAUR domain-containing protein 1;Olink Explore Neurology- Olink Target 96 Cell Regulation;Tissue enhanced: brain- fallopian tube- pituitary gland;TEBFTPG
